text,sentiment
Recent technical alerts: MACD Bearish Signal Line Cross plus 8 more alerts...,0
Analysts are on the Bearish side about Hummingbird Resources PLC this week. -,0
As Mondelez Intl Class A Share Value Declined Interocean Capital LLC Upped Stake -,0
Invesco Price Target Lowered to .00 at Credit Suisse Group,0
Hormel Foods Downgraded by Stephens,0
Fedex Corporation Valuation Declined While Southeastern Asset Management INC Has Decreased Its Holding by …,0
United Technologies Lowered to Hold at Zacks Investment Research,0
Akamai Technologies INC Holder Howland Capital Management LLC Lowered Stake,0
Alaska Air Group Downgraded to “Strong Sell” at Zacks Investment Research,0
Zacks Investment Research Downgrades Torchmark to Hold,0
Bank Of America Corp Trimmed Its Carnival Corp Position by .79 Million as Stock Declined -,0
Mattel Downgraded to Hold at BidaskClub,0
Cincinnati Financial Rating Lowered to Sell at Zacks Investment Research,0
Invesco PT Lowered to at Citi,0
Pentair Downgraded by Zacks Investment Research to “Sell”,0
Are Analysts Bearish McCormick &amp; Company Incorporated After Last Week?,0
@AmWealthProject I have a lot of dry powder also. The put options make me feel better about buying value in what I…,0
Are Analysts Bearish U.S. Silica Holdings Inc. After Last Week? -,0
Expeditors International of Washington Stock Rating Lowered by BidaskClub,0
BidaskClub Downgrades CME Group to Hold,0
We calculated 63-day Expected Return of for you: -6.2%,0
Zacks Investment Research Downgrades International Flavors &amp; Fragrances to Sell,0
CLX pounded(-3.8%/GS downgrade/#2 SP500 loser)at new July lows back below 200D expecting more downside May high/…,0
Wednesday's Top Analyst Upgrades and Downgrades PART 2 …,0
Today's Health Care market mover is CHARMING SHOPPES INC is up 20.81%! Key words: PRICE BEARISH ILL TARGET…,0
Steven E. Creviston Sells 3000 Shares of Qorvo Inc Stock,0
open interest for maturity 07/20/2018. High put=65.00 High call=85.00 #maxpain #options,0
Henry Schein Stock Rating Lowered by BidaskClub,0
Parker Hannifin Rockwell Automation drop as Goldman downgrades,0
Kellogg W. K. Foundation Trust Sells 150000 Shares of Kellogg Stock,0
Will Investors Now Sell Waters Stock Following Today’s BofA Merrill Downgrades? -,0
Deutsche Has Just Reported a Downgrade of Intu Properties with a GBX 150.00 Target Price,0
"RT @jimcramer: If you think that Netflix's stock down 50 was a giant buying opportunity after a ""less than stellar"" quarter how about …",0
Investors Purchase Large Volume of GGP Put Options,0
What Will Happen to Apache Corporation Next? The Stock Has Decline in Shorts -,0
Guardian Capital Advisors LP Lowered Its Position in Taiwan Semiconductor Mfg LTD by .41 Million as Stock Va…,0
Laurion Capital Management LP Lowered Position in Marriott Intl INC New by .00 Million as Share Price Declined ...,0
Wynn Resorts Downgraded to “Sell” at Zacks Investment Research,0
Universal Health Services Share Price May Be About to Change Direction; Goldman Sachs Downgrades Them -,0
The Stock have seen buyers at the 50% retracement from lows at 7.5.2018 still we should see more downside.#elliottwave,0
Could Agilent Technologies Inc Skyrocket? The Stock Has Too Many Sellers,0
UPDATE: Guggenheim Downgrades American Tower to Neutral,0
Finally Time To Cut Your Stake? Goldman Downgrades Parker-Hannifin Shares -,0
RT @BruceTennen: US Housing Starts plunge 12% in June to a 9 month low. This was the third straight down month. Focus on …,0
#XLGroup BidaskScore is Downgraded to Sold,0
Incyte Corp Stock Declined While Sands Capital Management LLC Has Raised by .93 Million Its Position -,0
Discovery Inc Series C Downgraded by ValuEngine to Sell,0
Q2 2019 EPS Estimates for Henry Schein Inc. Lowered by Analyst,0
RT @theflynews: LabCorp breach may have exposed millions of medical records Daily Mail says,0
CenterPoint Energy Stock Rating Lowered by ValuEngine,0
Edison International Rating Lowered to Hold at Zacks Investment Research,0
Potential Winners And Losers In The Optical Space From The Tariff Dispute,0
Ancora Advisors LLC Decreased Stake in Symantec Corp by .90 Million as Share Value Declined -,0
Goldman Sachs analyst Jerry Revich downgraded to Sell from Neutral and lowered pt to from as part of b…,0
Encouraging to see catch up some while hangs tight. For those questioning divergence lately it's…,0
@naashonomics So what is book value? IBM calls were 2:1 against puts MSFT calls are 3:1 against puts.,0
Howe &amp; Rusling INC Has Lowered Edwards Lifesciences Corp Holding as Stock Value Declined -,0
July 18 Wednesday is .43 Bearish target .90,0
BidaskClub Downgrades DENTSPLY SIRONA to Sell,0
We combine indicators that give good returns when backtested. This one is Bearish on,0
maybe nesxt time (general mills) i already lost 60 +the 7fee which means is down m da. #headscratcher…,0
FirstEnergy Rating Lowered to Hold at Zacks Investment Research,0
Edison International Stock Formed Bearish Multiple Bottom. What To Expect? -,0
What to know about the data breach.,0
Helmerich &amp; Payne Downgraded by ValuEngine to Hold,0
On our Top 50 Bearish List today: ...,0
Lumentum Stock Rating Lowered by ValuEngine,0
Cedar Rock Capital LTD Has Lowered Its Dr Pepper Snapple Group INC Holding by .01 Million -,0
Mattel Stock Rating Lowered by BidaskClub,0
Francis A. Desouza Sells 3300 Shares of Illumina Inc. Stock,0
Intercontinental Exchange Inc COO Sells .88 in Stock,0
EOG Resources anticipates Q2 non-cash net loss of .9M,0
Waters Rating Lowered to Underperform at Bank of America,0
Cypress Semiconductor Co. EVP Sudhir Gopalswamy Sells 3000 Shares,0
What's Next for Stanley Black &amp; Decker Inc. After Forming Wedge Down Chart Pattern? -,0
General Mills Inc. Insider Sells .04 in Stock,0
technical alerts: Gilligan's Island Sell Setup Volume Surge New Uptrend Crossed Above 50...,0
The technical rating of is bad and it also does not present a quality setup at the moment.…,0
Bearish Chart Formation for Waters Corporation After Forming Wedge Down Pattern -,0
Third Avenue Value Fund Sells PNC Financial Masco,0
Oasis Petroleum Stock Price Down 5.2%,0
Superior Energy Services Stock Rating Lowered by Zacks Investment Research,0
Mylan Downgraded by BidaskClub to Sell,0
Morgan Stanley Downgrades U.S. Silica to Equal Weight,0
Is Intu Properties Now a Sell? Deutsche Bank Downgrades Stock,0
As Western Digital Corp Stock Value Declined Freshford Capital Management LLC Has Trimmed by .97 Mill…,0
open interest for maturity 07/20/2018. High put=65.00 High call=62.50 #maxpain #options,0
DDR Downgraded by Zacks Investment Research,0
Discover Financial Services Lowered to “Hold” at Zacks Investment Research,0
Martin Currie LTD Has Decreased Its Philip Morris Intl INC Holding as Stock Price Declined,0
Traders Sell Shares of Metlife on Strength After Analyst Downgrade,0
Lincoln National Stock Rating Lowered by Zacks Investment Research,0
: DAILY 1 YEAR VOLATILITY CHART call put ratio 5.8 calls to 1 put into EPS,0
Edwards Lifesciences Downgraded by Zacks Investment Research,0
When you're waiting for to report so you can ride some PUTS but FOMO ha…,0
James William Johnson Sells 4750 Shares of Chevron Co. Stock,0
What Will The Effects of a Goldman Downgrade Be For Universal Health Shares? -,0
MGM Resorts International Short Interest Down 24.1% in June,0
Zacks Investment Research Downgrades Wynn Resorts to Sell,0
CME Group Lowered to “Hold” at BidaskClub,0
Prudential Financial Lowered to “Hold” at Zacks Investment Research,0
Whiting Petroleum Trading Down 6.3%,0
Zacks Investment Research Lowers Western Digital to Hold,0
As Wyndham Worldwide Share Value Declined First National Bank Of Mount Dora Trust Investment Services Increas…,0
Is Selling PPG Industries Inc. Here a Winning Strategy? The Stock Formed Bearish Wedge Down -,0
General Mills Inc. Insider Sells .56 in Stock,0
Michael R. Smith Sells 8000 Shares of MCCORMICK &amp; Co/SH SH NV Stock,0
As American Tower Corp New Share Value Declined Shareholder Brookfield Asset Management INC Has Trimmed by .55 Million Its Pos...,0
: Chipmaker Broadcom Downgraded On Rising Strategic Uncertainty:,0
Rmb Capital Management LLC Lowered Its Align Technology INC Stake as Market Valuation Rose -,0
Superior Energy Services Stock Rating Lowered by Zacks Investment Research,0
Hershey Lowered to Equal Weight at Consumer Edge,0
As Molson Coors Brewing Co Market Valuation Declined Independent Franchise Partners Llp Has Raised by .93…,0
Is Abcam PLC a Stock One Should Sell Following Today’s Numis Downgrade?,0
As Altria Group INC Stock Price Declined South Street Advisors LLC Lifted by .86 Million Its Position -,0
Insider Selling: Carrizo Oil &amp; Gas Inc Insider Sells .00 in Stock,0
RT @rightviewrob: - Bearish eveningstar reversal patterns form on the Electronic Arts and Activision charts. What does this mean…,0
Perrigo Downgraded to “Sell” at Goldman Sachs Group,0
Dominion Energy Inc Short Interest Down 32.5% in June,0
MONDELEZ INTERNATIONAL INC Common Stock Price Target Cut to .00 by Analysts at Royal Bank of Canada,0
12Th Street Asset Management Company Has Lowered Apple Com Stake by .92 Million; Share Price Rose; As Yand…,0
Hershey Downgraded by Consumer Edge,0
Guggenheim Downgrades American Tower to Neutral,0
American Tower Corp New Stock Value Declined While Dorsal Capital Management LLC Increased Its Holding -,0
Are Newfield Exploration Shares Worth Your Time and Dime Following Recent Goldman Sachs Downgrade? -,0
Is Buying Mettler-toledo International Inc Here Good Idea? -,0
Vertex will selloff and short sellers will knock the stock down to the range - again soon. Keep an eye on it.,0
Are Analysts Bearish The Mosaic Company After Last Week?,0
Torchmark Downgraded by Zacks Investment Research to “Hold”,0
RT @FiercePharma: predicts 4% to 6% net price decline this year,0
Martin Currie LTD Lowered Philip Morris Intl INC Position by .48 Million -,0
Guardian Capital Advisors LP Cut Taiwan Semiconductor Mfg LTD Holding as Stock Value Declined -,0
Ad agency shares fall after Omnicom results indicate changing digital landscape …,0
William S. Simon Sells 2418 Shares of Darden Restaurants Inc. Stock,0
Waters Stock Rating Lowered by Zacks Investment Research,0
Parallax Volatility Advisers LP Has Lowered Stake in Qualcomm INC as Stock Price Declined -,0
Charles F. Serianni Sells 9500 Shares of Republic Services Stock,0
Looking for honest and profitable trading calls recommendations and advice join: …,0
Mettler Toledo International C Shareholder Williams Jones &amp; Associates LLC Has Decreased Position as Market Value Declined ...,0
E*TRADE Financial Downgraded by Zacks Investment Research to “Hold”,0
Insider Selling: Republic Services CFO Sells 9500 Shares of Stock,0
RT @StockTwits: The price of lumber is down 22% since hitting its YTD highs. The Macy's turnaround is still happening. Caterpil…,0
As Procter &amp; Gamble Company Market Valuation Declined Johnson Investment Counsel INC Has Boosted Position,0
Edwards Lifesciences Downgraded by Zacks Investment Research,0
Ross Stores INC Shareholder Bluespruce Investments LP Raised Stake by .66 Million as Share Value Declined,0
As Regeneron Pharmaceuticals Share Price Declined Healthcor Management LP Upped Holding,0
Could Alaska Air Group Inc. Gain Strenght After Forming Wedge Down Pattern?,0
Marathon Petroleum Downgraded by Zacks Investment Research,0
Darden Restaurants Has Just Been Downgraded by Maxim Group to a Hold Rating -,0
Extra Space Storage Rating Lowered to Buy at Goldman Sachs Group,0
Omnicom Group Shares Gap Down Following Analyst Downgrade,0
Less then -1% down versus the -4.10% it was trading at the morning lows. 10 minutes left. Could go flat to gre…,0
most active put option: 17-Aug-18 57.5 Puts. See MU Option Chain,0
FirstEnergy Rating Lowered to Hold at Zacks Investment Research,0
New 4 min model and intraday Super Pivot. Model shows down into 3pm and 2814.75 is new Super Pivot. Let the marke…,0
Extra Space Storage Downgraded by Goldman Sachs Group,0
open interest for maturity 07/20/2018. High put=72.50 High call=75.00 #maxpain #options,0
what a disappointing afternoon in . Thought she was ready to run this morning. Looks like a date with 46.7 wh…,0
@carolinefevans paying down debts with pipeline sale outweighs this out a bit but thanks for the info,0
Incyte Stock Rating Lowered by Morgan Stanley,0
RT @ReformedBroker: Batnick did this chart showing the gains AND the drawdowns in because people almost never consider both sides of…,0
Zacks Investment Research Downgrades T. Rowe Price Group to Hold,0
Putnam Investments LLC Boosted Its Stake in Becton Dickinson And Co by .33 Million -,0
As Honeywell Intl INC Stock Price Declined Brookside Capital Management LLC Upped Position by .04 Million -,0
Hormel Foods Corp Director Sells .00 in Stock,0
Prelim option volume of 17.0M today is 2% below recent average. Calls led puts 9.73M to 7.23M,0
. #JimChanos at #DeliveringAlpha bearish physician practice management companies. “Accounting scam” Short,0
On The Fly: Top five analyst downgrades,0
Xylem Inc New Short Interest Increased By 17.36% -,0
Make money even when BTC is going down! 📉📉 → Up to 100x Leverage! …,0
Are Analysts Bearish Finisar Corporation After Last Week? -,0
MarketWatch: CryptoWatch: Barry Silbert says bitcoin put in its 2018 low but 99% of cryptos are worthless,0
Does The Hartford Financial Services Group Inc. Have Any Gas After Forming This Bearish Double Bottom Pattern? ...,0
Edgestream Partners LP Has Upped Its Stake in Cigna Corporation as Stock Value Declined,0
@PaulJSingh put in a nice hammer on 7/16 with good follow through on 7/17.,0
Time Warner INC Shares Declined While Manikay Partners LLC Decreased Position by .88 Million,0
Invesco PT Lowered to .00 at Credit Suisse Group,0
Ellyn Shook Sells 4375 Shares of Accenture Plc Stock,0
AES Corp Position Lowered by Atria Investments LLC,0
RT @AimHighProfits: When you're waiting for to report so you can ride some PUTS but FOMO has yo…,0
Henry Schein Downgraded to Hold at BidaskClub,0
Nike Inc Sees Large Decline in Short Interest,0
How Many Noble Energy Inc. 's Analysts Are Bearish? -,0
open interest for maturity 07/20/2018. High put=100.00 High call=110.00 #maxpain #options…,0
on watch,0
Analysts are on the Bearish side about Robert Half International Inc. this week. -,0
As Baidu INC Share Value Declined Glovista Investments LLC Has Lowered Stake by .21 Million -,0
Parker-Hannifin Rating Lowered to Neutral at Goldman Sachs Group,0
Sarepta Therapeutics Inc SVP David T. Howton Sells 50000 Shares of Stock,0
Honest question what stops from continuing to put up egregiously high Cash NOI other than a recession?,0
Trendline broken on gap down on gave me a bearish bias got short off 15 min setup. #mindthegap #gaptrading…,0
As Incyte Corporation Valuation Declined Shareholder Tekla Capital Management LLC Lowered Its Holding by .…,0
Hasbro Rating Lowered to Underperform at BMO Capital Markets,0
Incyte Has Limited Catalysts In Next 6 Months; But 2019 Could Be Pivotal Morgan Stanley Says In Downgrade,0
AES Downgraded by Zacks Investment Research to Sell,0
short signal in a few days ago alerted as a short candidate down over 2% since short signal.,0
LGT Capital Partners LTD. Sells 32510 Shares of Kansas City Southern,0
How Many Energy Transfer Equity L.P. 's Analysts Are Bearish? -,0
RT @JaguarAnalytics: More cyclical industrial / machinery downgrades tonight as analysts account for changing business conditions driven by…,0
Darden Restaurants Downgraded by Maxim Group,0
RT @Benzinga: Potential Winners And Losers In The Optical Space From The Tariff Dispute …,0
What’s in Assurant Inc After Decline in Shorted Shares? -,0
Xylem Lowered to Sell at Zacks Investment Research,0
Waters Downgraded by Zacks Investment Research,0
Bridgeway Capital Management INC Has Lowered Its Best Buy INC Holding as Share Value Declined,0
Nokota Management LP Lowered Dollar Tree INC Stake by .86 Million,0
Short sale volume (not short interest) for on 2018-07-06 is 78%. 80% 67% 54% 46%,0
Scan results - 123 Retracement Bearish today: ...,0
Parker Hannifin Rockwell Automation drop as Goldman downgrades,0
Morgan Stanley downgrades from Overweight to Equal-Weight,0
Insider Selling: Edwards Lifesciences Corp VP Sells 5500 Shares of Stock,0
@RampCapitalLLC Sold out of 1000 contracts of Nov 2007 puts at an avg of .28 - cost basis of .22 but major pap…,0
Slumping sales and the loss of a major customer has sent @Hasbro stock tumbling 16.7 percent in the past year.…,0
The top five stocks lower at noon today are and .,0
Investors Sell Shares of E*TRADE Financial on Strength Following Analyst Downgrade,0
Took profit on calls loaded up more and puts near the highs,0
Are Analysts Bearish National Oilwell Varco Inc. After Last Week? -,0
Endo International Stock Price Down 5%,0
Melvin Capital Management LP Stake in Constellation Brands INC Has Lowered by .60 Million -,0
MONDELEZ INTERNATIONAL INC Common Stock Lowered to “Sell” at Zacks Investment Research,0
Were Analysts Bearish Patterson-UTI Energy Inc. This Week? -,0
Blue Apron Shares Gap Down Following Analyst Downgrade,0
Airline Stock Roundup: Earnings Beat at DAL &amp; UAL AAL's Bearish Q2 View &amp; More,0
Bearish DailyPlay for Tuesday July 17th 2018 #bearish #earnings,0
Henry Schein Stock Rating Lowered by Zacks Investment Research,0
RT @bostonchaahhts: here's the daily - back above ~.50 and a big failed breakdown is in play. a lot of potential here. if we get a…,0
RT @IBMNews: In 2Q delivered the world’s most powerful supercomputer to the U.S. Department of Energy. https:…,0
Abbvie INC Shareholder Capital Fund Management Sa Has Lowered Its Position by .38 Million as Stock V…,0
Kinder Morgan INC Del Stock Declined While Fpr Partners LLC Has Upped Its Holding,0
Interpublic Grp is down 5.2% -,0
On our Top 50 Bearish List today: ...,0
Elevated Implied Volatility #optionstrading,0
Recent technical alerts: Non-ADX 1234 Bearish plus 3 more alerts...,0
Zacks Investment Research Downgrades Johnson Controls International to Hold,0
Deutsche Bank Has Just Reported a Downgrade of Intu Properties with a GBX 150.00 Target Price -,0
Applied Materials has been languishing for the last 4 months at one point on the verge of a strong breakdown…,0
Hershey Lowered to “Equal Weight” at Consumer Edge,0
Madison Pacific Properties Inc. Class B Insider Raymond Heung Sells C.00 in,0
Ross Stores Downgraded by BidaskClub to Buy,0
- Bearish eveningstar reversal patterns form on the Electronic Arts and Activision charts. What does this…,0
technical alerts: New 52 Week Low Stochastic Reached Oversold MACD Bearish Signal Line Cros...,0
U.S. Silica Lowered to Equal Weight at Morgan Stanley,0
Are Analysts Bearish CenterPoint Energy Inc. After Last Week? -,0
AutoNation Inc. Director Sells .00 in Stock,0
Apache Rating Lowered to Hold at Zacks Investment Research,0
Stanley Black &amp; Decker Inc. Stock Faces Higher Risks Forward After Forming Wedge Down,0
Deere &amp; Company Downgraded to “Positive” at OTR Global,0
Office Depot Downgraded to Hold at Zacks Investment Research,0
#EbayInc. declines in after hours trading. See the latest news.,0
Zimmer Biomet Stock Rating Lowered by Zacks Investment Research,0
Zacks Investment Research Downgrades Fluor Co. to Hold,0
How Many Murphy Oil Corporation 's Analysts Are Bearish? -,0
- Broken its downtrend but still has a couple of hurdles to overcome. Really bullish above,0
Robert Nakasone Sells 6000 Shares of Hormel Foods Corp Stock,0
Johnson Controls International Lowered to “Hold” at Zacks Investment Research,0
BidaskClub Downgrades DENTSPLY SIRONA to Sell,0
As Simon Property Group INC Valuation Rose Shareholder Advantus Capital Management INC Lowered Holding by .94 Million ...,0
Glovista Investments LLC Lowered Baidu INC Position by .21 Million -,0
Q2 2018 EPS Estimates for CIGNA Co. Lowered by Jefferies Financial Group,0
Accenture Plc Class A Ordinary Shares Has Increase in Shorts -,0
Palestra Capital Management LLC Position in Mohawk Inds INC Upped as Market Valuation Declined,0
BidaskClub Downgrades Bed Bath &amp; Beyond to Buy,0
Mount Lucas Management LP Lowered Best Buy Co INC Stake by .07 Million; Stock Declined -,0
Stericycle Downgraded by Zacks Investment Research to “Hold”,0
LyondellBasell Industries Downgraded to “Hold” at Zacks Investment Research,0
Insider Selling: Illumina Inc. Insider Sells .00 in Stock,0
Cincinnati Financial Downgraded by Zacks Investment Research to “Sell”,0
Zacks Investment Research Downgrades Hess to Hold,0
RT @allstarcharts: if this bearish Bonds call turns out to be correct I think Regional Banks will continue to benefit the rest of the summ…,0
As Electronic Arts INC Market Valuation Rose Shareholder Technology Crossover Management Vi LLC Has Lowered I…,0
Genocea Biosciences Stock Rating Lowered by Zacks Investment Research,0
Insider Selling: Blue Apron Holdings Inc Insider Sells 10000 Shares of Stock,0
John W. Pietrowicz Sells 2500 Shares of CME Group Inc Stock,0
Short Interest in NRG Energy Inc Declines By 36.4%,0
Insider Selling: Glu Mobile Inc. VP Sells 105000 Shares of Stock,0
Hormel Foods Corp Director Sells .00 in Stock,0
Guggenheim Downgrades Patterson-UTI Energy to Neutral,0
RT @myQuikfo: Today's Health Care market mover is CHARMING SHOPPES INC is up 20.81%! Key words: PRICE BEARISH ILL TARGET STOCK S…,0
RT @SwingTradeBot: On our Top 50 Bearish List today: ...,0
Motorola Solutions Downgraded by Zacks Investment Research,0
Analysts are on the Bearish side about YUM! Brands Inc. this week.,0
RT @tastytraderMike: @TraderNickyBAT and I are doing a deep dive into earnings today! We're taking a look at the following underlyings at 1…,0
Insider Selling: Edwards Lifesciences Corp VP Sells 5500 Shares of Stock,0
IBM(+2.6%/earnings)heading for a big upside gap tomorrow nice change last 2 earnings(4/17 1/18)huge downside gap…,0
Akamai Technologies Inc. Director Sells .00 in Stock,0
Are U.S. Silica Shares Worth Your Time and Dime Following Recent Morgan Stanley Downgrade? -,0
CenterPoint Energy Rating Lowered to Sell at Zacks Investment Research,0
Zacks Investment Research Downgrades Henry Schein to Hold,0
Flex Lowered to “Strong Sell” at Zacks Investment Research,0
RT @JDBlum23: Baker Hughes sells Dresser gas business for million via @houstonchron,0
How Many Tyson Foods Inc. 's Analysts Are Bearish?,0
has a poor technical rating and the quality of the setup is also only medium at the moment.…,0
Saratoga Research &amp; Investment Management Lowered Its Holding in Varian Medical Systems by .46 Million as S…,0
Analysts are on the Bearish side about Simon Property Group Inc. this week.,0
Darden Restaurants Downgraded to Hold at Maxim Group,0
T Mobile Us INC Holder Palestra Capital Management LLC Lowered Its Holding by .13 Million as Market Valuat…,0
Citigroup INC Shareholder Lakewood Capital Management LP Increased Stake by .13 Million as Valuation Declined,0
Metlife Inc Sees Large Decline in Short Interest,0
Is ONEOK Now a Sell? Why did Jefferies Downgrade The Stock? -,0
What Will Happen to Automatic Data Processing Inc Next? The Stock Has Decline in Shorts,0
Ellyn Shook Sells 4375 Shares of Accenture Plc Stock,0
Electronic Arts INC Stock Value Rose While Technology Crossover Management Vi LLC Has Lowered Stake by .42…,0
Were Analysts Bearish Murphy Oil Corporation This Week?,0
Universal Hlth Svcs INC Holder Maverick Capital LTD Lowered Its Stake by .93 Million as Stock Value Declin…,0
Darden Restaurants Inc's Sentiment is 0.88 -,0
As Express Scripts Hldg Co Market Value Declined Petrus Trust Company Lta Raised Its Position -,0
L3 Technologies Downgraded by Zacks Investment Research to Hold,0
As Pulte Group INC Shares Rose Holder South Street Advisors LLC Has Lowered Its Stake -,0
Attractive put selling pricing: puts more expensive than 100% of history 99% 99% 97% 97% 96% 96%,0
"Gets a Stock downgrade and it ""POPS"" 😂😂 (short covering??). A new long since 231.44 was broken today with targ…",0
Dollar Tree Downgraded by BidaskClub,0
How Many Hess Corporation 's Analysts Are Bearish?,0
Barclays Downgrades Hess to Underweight,0
RT @GinFizzBear: more downgrades this one from UBS. Good short call @AjAwesomecalls I think Jamie and me are going to get paid tomo…,0
Mark Wassersug Sells 7898 Shares of Intercontinental Exchange Inc Stock,0
RT @SwingTradeBot: On our Top 50 Bearish List today: ...,0
Prudential Financial Inc. Forms Bearish Wedge Down Pattern; Strong Momentum for Sellers -,0
Sands Capital Management LLC Has Boosted Incyte Corp Position by .93 Million; Valuation Declined -,0
Natixis Asset Management Raised Its Position in Thermo Fisher Scientific INC as Stock Price Declined -,0
Deere &amp; Company Rating Lowered to Buy at Goldman Sachs Group,0
TD Ameritrade Price Target Lowered to .00 at Raymond James,0
Invesco Lowered to Market Perform at Keefe Bruyette &amp; Woods,0
CenterPoint Energy Stock Rating Lowered by ValuEngine,0
Mettler Toledo International C Valuation Declined While Williams Jones &amp; Associates LLC Has Decreased Its Posi…,0
REPORT: World Cup viewership in U.S. fell by one third,0
Short sale vol (not short interest) for on 2018-07-16 is 66%. 63% 68% 65% 44%,0
Blue Apron Shares Gap Down After Insider Selling,0
Roper Technologies: The Best-Performing Dividend Aristocrat for the Past 2 Decades Is Not a Good Investment To…,0
We calculated 21-day Expected Return of for you: -8.99%,0
Aar Valuation Rose While Marcato Capital Management LP Has Lowered Stake; Rdl Financial Trimmed Hartford Finl…,0
Fdx Advisors INC Lowered Its Amerisourcebergen Corp Com Stake as Stock Declined,0
Republic Services CFO Sells .00 in Stock,0
Should Investors Consider Selling Clorox Shares Now That Goldman Sachs Downgraded The Company? -,0
Insider Selling: American Tower Corp Chairman Sells .38 in Stock,0
How Many Gentex Corporation 's Analysts Are Bearish? -,0
Xerox Downgraded to Hold at Zacks Investment Research,0
Kellogg Co Shareholder Keybank National Association Has Trimmed Its Stake by .64 Million,0
Some spreads for Wednesday 9500 Sep 165.0/170.0 Call Spread bought .94 9000 Jul/Aug 41.0 Put Spread sold…,0
Snap Inc VP Lara Sweet Sells 10268 Shares,0
Zacks Investment Research Downgrades DIGITAL Rlty Tr/SH SH to Hold,0
Fedex Corporation Shareholder Southeastern Asset Management INC Has Decreased Position as Stock Value Declined…,0
open interest for maturity 07/20/2018. High put=50.00 High call=77.50 #maxpain #options,0
Susquehanna International Group Llp Has Raised By .65 Million Its Penney J C Position; Whetstone Capit…,0
07/17/2018 Morning Brief: #Option Activity - #Bullish option activity in &amp; #Bearish option acti…,0
Newfield Exploration Shares Gap Down to .10,0
As Mccormick &amp; Co INC Com Non Vtg Stock Declined Sawgrass Asset Management LLC Cut by .41 Million Its Posi…,0
LabCorp short time boys - currently 185 gonna take a 7-10% dip today,0
Will Investors Now Sell ONEOK Stock Following Today’s Jefferies Downgrades?,0
Analysts are on the Bearish side about CME Group Inc. this week. -,0
Discover Financial Services Downgraded by Zacks Investment Research,0
Albemarle Corporation ’s Trend Unknown Especially After Increased Shorts,0
Cypress Semiconductor Corp Stock Declined While Pdt Partners LLC Has Raised by .25 Million Its Holding -,0
Zacks Investment Research Downgrades Marathon Petroleum to Hold,0
@TraderNickyBAT and I are doing a deep dive into earnings today! We're taking a look at the following underlyings a…,0
Deutsche Bank downgrades Intu Properties to ‘sell’ from ‘hold’ following marathon shopping trip…,0
today is the beginning of allocation day. Slow and consistent. synthetic puts aren’t a bad pl…,0
New UOA detected for : 8350 .0 PUT options expiring 2018-08-17 traded for .45 bought on the ask,0
David B. Edelson Sells 42000 Shares of AutoNation Inc. Stock,0
Potential Winners And Losers In The Optical Space From The Tariff Dispute via @benzinga,0
open interest for maturity 07/20/2018. High put=33.00 High call=35.00 #maxpain #options…,0
Hertz Global – Analysts’ Recent Ratings Changes,0
Motorola Solutions INC Holder Arbiter Partners Capital Management LLC Boosted Holding -,0
Short sale volume (not short interest) for at 2018-07-16 is 57%. 62% 62% 67% 48%,0
